GEO.id,GEO.id2,GEO.display-label,B15002_001E,B15002_001M,B15002_002E,B15002_002M,B15002_003E,B15002_003M,B15002_004E,B15002_004M,B15002_005E,B15002_005M,B15002_006E,B15002_006M,B15002_007E,B15002_007M,B15002_008E,B15002_008M,B15002_009E,B15002_009M,B15002_010E,B15002_010M,B15002_011E,B15002_011M,B15002_012E,B15002_012M,B15002_013E,B15002_013M,B15002_014E,B15002_014M,B15002_015E,B15002_015M,B15002_016E,B15002_016M,B15002_017E,B15002_017M,B15002_018E,B15002_018M,B15002_019E,B15002_019M,B15002_020E,B15002_020M,B15002_021E,B15002_021M,B15002_022E,B15002_022M,B15002_023E,B15002_023M,B15002_024E,B15002_024M,B15002_025E,B15002_025M,B15002_026E,B15002_026M,B15002_027E,B15002_027M,B15002_028E,B15002_028M,B15002_029E,B15002_029M,B15002_030E,B15002_030M,B15002_031E,B15002_031M,B15002_032E,B15002_032M,B15002_033E,B15002_033M,B15002_034E,B15002_034M,B15002_035E,B15002_035M
Id,Id2,Geography,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Male,Margin of Error!!Total!!Male,Estimate!!Total!!Male!!No schooling completed,Margin of Error!!Total!!Male!!No schooling completed,Estimate!!Total!!Male!!Nursery to 4th grade,Margin of Error!!Total!!Male!!Nursery to 4th grade,Estimate!!Total!!Male!!5th and 6th grade,Margin of Error!!Total!!Male!!5th and 6th grade,Estimate!!Total!!Male!!7th and 8th grade,Margin of Error!!Total!!Male!!7th and 8th grade,Estimate!!Total!!Male!!9th grade,Margin of Error!!Total!!Male!!9th grade,Estimate!!Total!!Male!!10th grade,Margin of Error!!Total!!Male!!10th grade,Estimate!!Total!!Male!!11th grade,Margin of Error!!Total!!Male!!11th grade,"Estimate!!Total!!Male!!12th grade, no diploma","Margin of Error!!Total!!Male!!12th grade, no diploma",Estimate!!Total!!Male!!High school graduate (includes equivalency),Margin of Error!!Total!!Male!!High school graduate (includes equivalency),"Estimate!!Total!!Male!!Some college, less than 1 year","Margin of Error!!Total!!Male!!Some college, less than 1 year","Estimate!!Total!!Male!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Male!!Some college, 1 or more years, no degree",Estimate!!Total!!Male!!Associate's degree,Margin of Error!!Total!!Male!!Associate's degree,Estimate!!Total!!Male!!Bachelor's degree,Margin of Error!!Total!!Male!!Bachelor's degree,Estimate!!Total!!Male!!Master's degree,Margin of Error!!Total!!Male!!Master's degree,Estimate!!Total!!Male!!Professional school degree,Margin of Error!!Total!!Male!!Professional school degree,Estimate!!Total!!Male!!Doctorate degree,Margin of Error!!Total!!Male!!Doctorate degree,Estimate!!Total!!Female,Margin of Error!!Total!!Female,Estimate!!Total!!Female!!No schooling completed,Margin of Error!!Total!!Female!!No schooling completed,Estimate!!Total!!Female!!Nursery to 4th grade,Margin of Error!!Total!!Female!!Nursery to 4th grade,Estimate!!Total!!Female!!5th and 6th grade,Margin of Error!!Total!!Female!!5th and 6th grade,Estimate!!Total!!Female!!7th and 8th grade,Margin of Error!!Total!!Female!!7th and 8th grade,Estimate!!Total!!Female!!9th grade,Margin of Error!!Total!!Female!!9th grade,Estimate!!Total!!Female!!10th grade,Margin of Error!!Total!!Female!!10th grade,Estimate!!Total!!Female!!11th grade,Margin of Error!!Total!!Female!!11th grade,"Estimate!!Total!!Female!!12th grade, no diploma","Margin of Error!!Total!!Female!!12th grade, no diploma",Estimate!!Total!!Female!!High school graduate (includes equivalency),Margin of Error!!Total!!Female!!High school graduate (includes equivalency),"Estimate!!Total!!Female!!Some college, less than 1 year","Margin of Error!!Total!!Female!!Some college, less than 1 year","Estimate!!Total!!Female!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Female!!Some college, 1 or more years, no degree",Estimate!!Total!!Female!!Associate's degree,Margin of Error!!Total!!Female!!Associate's degree,Estimate!!Total!!Female!!Bachelor's degree,Margin of Error!!Total!!Female!!Bachelor's degree,Estimate!!Total!!Female!!Master's degree,Margin of Error!!Total!!Female!!Master's degree,Estimate!!Total!!Female!!Professional school degree,Margin of Error!!Total!!Female!!Professional school degree,Estimate!!Total!!Female!!Doctorate degree,Margin of Error!!Total!!Female!!Doctorate degree
0600000US0901156270,0901156270,"Norwich town, New London County, Connecticut",27743,564,13210,539,270,153,8,15,121,92,130,69,155,78,272,128,752,240,298,148,4641,395,903,259,1665,326,1091,283,1841,268,765,182,265,94,33,30,14533,487,424,152,0,26,163,114,343,133,180,113,182,82,291,124,176,89,5436,526,1189,285,2134,401,1141,268,1616,251,981,210,161,72,116,74
0600000US0900722280,0900722280,"East Haddam town, Middlesex County, Connecticut",6844,242,3502,180,114,93,14,23,0,17,28,31,43,48,177,165,0,17,37,34,1015,190,223,129,365,103,407,141,645,150,311,117,78,48,45,47,3342,178,11,18,0,17,0,17,54,59,14,22,19,18,4,10,0,17,931,194,164,90,514,147,427,158,784,182,352,122,30,30,38,30
0600000US0900987700,0900987700,"Woodbridge town, New Haven County, Connecticut",6431,175,3061,226,8,14,37,57,17,30,0,17,0,17,33,50,9,19,18,22,445,173,88,77,189,77,243,135,716,123,594,148,422,109,242,89,3370,190,23,26,11,17,111,104,45,58,0,17,14,22,0,17,27,31,338,149,33,26,400,129,118,58,836,183,903,189,302,106,209,85
0600000US0901171670,0901171670,"Sprague town, New London County, Connecticut",2103,106,1051,88,0,12,0,12,12,13,3,5,4,7,24,26,21,19,5,7,547,98,38,24,188,68,49,33,102,41,35,19,18,22,5,8,1052,74,0,12,0,12,0,12,31,28,10,16,26,26,16,20,0,12,363,71,54,30,151,64,144,53,146,46,107,68,0,12,4,8
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",24667,375,11634,335,45,35,20,21,29,28,83,70,39,37,75,55,128,105,88,66,1998,267,644,152,1425,255,665,146,3336,285,2123,278,676,138,260,102,13033,332,30,35,14,19,75,54,19,19,49,43,108,73,147,84,94,54,2705,291,568,147,1405,250,880,158,3999,366,2472,309,329,110,139,72
0600000US0901180280,0901180280,"Waterford town, New London County, Connecticut",14069,286,6610,267,66,46,0,19,0,19,86,57,9,13,50,39,29,24,101,43,1750,236,320,97,990,179,535,127,1334,198,895,185,178,71,267,111,7459,301,68,42,0,19,12,19,51,44,18,23,64,41,71,54,60,40,2242,287,479,117,666,137,787,152,1575,188,1096,169,202,97,68,53
0600000US0901173770,0901173770,"Stonington town, New London County, Connecticut",13933,347,6608,254,60,44,9,14,29,28,43,30,33,27,71,58,104,50,53,39,1478,204,272,72,737,139,533,142,1659,198,964,135,331,86,232,68,7325,231,69,45,3,6,32,40,89,58,30,31,55,47,38,29,49,48,1819,211,422,93,703,135,651,114,1923,205,1154,153,140,50,148,53
0600000US0900715350,0900715350,"Clinton town, Middlesex County, Connecticut",9664,233,4537,188,17,18,0,19,22,33,30,36,13,17,74,45,76,45,36,27,1317,185,261,74,690,104,337,104,979,184,497,113,110,51,78,43,5127,162,22,19,0,19,0,19,45,44,44,43,64,41,102,49,74,39,1096,167,359,88,638,138,614,121,1230,173,733,126,55,31,51,31
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",18404,329,8564,284,33,29,0,23,8,16,6,9,8,12,11,15,48,50,34,31,660,185,160,84,490,142,169,84,2911,273,2568,265,1104,192,354,104,9840,271,9,15,0,23,12,16,70,66,7,12,8,12,34,34,34,27,1048,186,105,54,746,148,355,114,4013,292,2476,279,724,140,199,67
