GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - No schooling completed,Margin of Error; Male: - No schooling completed,Estimate; Male: - Nursery to 4th grade,Margin of Error; Male: - Nursery to 4th grade,Estimate; Male: - 5th and 6th grade,Margin of Error; Male: - 5th and 6th grade,Estimate; Male: - 7th and 8th grade,Margin of Error; Male: - 7th and 8th grade,Estimate; Male: - 9th grade,Margin of Error; Male: - 9th grade,Estimate; Male: - 10th grade,Margin of Error; Male: - 10th grade,Estimate; Male: - 11th grade,Margin of Error; Male: - 11th grade,"Estimate; Male: - 12th grade, no diploma","Margin of Error; Male: - 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, less than 1 year","Margin of Error; Male: - Some college, less than 1 year","Estimate; Male: - Some college, 1 or more years, no degree","Margin of Error; Male: - Some college, 1 or more years, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Master's degree,Margin of Error; Male: - Master's degree,Estimate; Male: - Professional school degree,Margin of Error; Male: - Professional school degree,Estimate; Male: - Doctorate degree,Margin of Error; Male: - Doctorate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - No schooling completed,Margin of Error; Female: - No schooling completed,Estimate; Female: - Nursery to 4th grade,Margin of Error; Female: - Nursery to 4th grade,Estimate; Female: - 5th and 6th grade,Margin of Error; Female: - 5th and 6th grade,Estimate; Female: - 7th and 8th grade,Margin of Error; Female: - 7th and 8th grade,Estimate; Female: - 9th grade,Margin of Error; Female: - 9th grade,Estimate; Female: - 10th grade,Margin of Error; Female: - 10th grade,Estimate; Female: - 11th grade,Margin of Error; Female: - 11th grade,"Estimate; Female: - 12th grade, no diploma","Margin of Error; Female: - 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, less than 1 year","Margin of Error; Female: - Some college, less than 1 year","Estimate; Female: - Some college, 1 or more years, no degree","Margin of Error; Female: - Some college, 1 or more years, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Master's degree,Margin of Error; Female: - Master's degree,Estimate; Female: - Professional school degree,Margin of Error; Female: - Professional school degree,Estimate; Female: - Doctorate degree,Margin of Error; Female: - Doctorate degree
0400000US09,09,Connecticut,2480297,424,1182129,315,12204,831,7447,775,14436,1084,17929,1071,13806,924,18728,1031,18245,984,19086,997,335452,3766,59200,1440,138699,2159,75160,1641,254201,2654,131910,2382,41256,1377,24370,1011,1298168,317,13070,893,8310,686,12946,714,18281,1016,14472,967,18576,1049,18327,948,16637,917,338130,3773,71016,1777,153620,2840,113321,2057,277854,3143,174153,2735,31983,1118,17472,908
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",13648,250,6391,229,27,28,9,12,83,47,72,56,7,13,58,38,64,43,234,100,1560,265,360,163,840,196,344,94,1673,195,831,160,52,31,177,86,7257,249,48,38,8,13,21,31,132,95,0,19,63,73,34,33,87,59,1711,237,493,173,826,165,617,126,2045,279,972,226,142,80,58,34
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",94935,914,44496,848,1201,230,1189,257,2121,453,1447,244,1203,253,1130,248,1523,286,1415,289,15281,816,1865,282,6036,668,2114,300,4890,517,2199,327,531,176,351,128,50439,767,1329,265,1077,264,1594,305,2077,325,1650,278,1325,192,1952,330,931,159,15462,705,2968,419,7381,535,3516,353,5995,530,2454,316,441,157,287,136
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",11680,344,5752,261,8,16,0,19,38,52,37,37,15,20,80,72,85,58,104,62,1014,216,227,86,739,195,502,161,1917,259,717,166,134,55,135,69,5928,242,7,11,13,19,0,19,59,69,0,19,18,21,20,25,49,41,1253,227,391,114,478,155,592,147,1857,250,933,158,174,79,84,55
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",57671,822,28363,778,764,292,514,182,1783,550,856,287,413,184,587,190,269,128,627,182,8401,724,1489,265,3059,400,1555,333,5010,527,2199,291,546,145,291,110,29308,676,557,151,603,239,1097,302,625,215,395,157,458,152,259,133,667,212,8465,675,1485,238,3088,445,2006,354,5151,455,3608,461,573,171,271,118
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",13029,271,6201,193,0,22,9,13,28,33,4,9,11,19,23,24,23,21,86,45,332,105,58,40,145,59,117,53,2869,226,1797,176,546,118,153,66,6828,174,2,4,7,11,36,53,22,17,0,22,14,20,1,2,22,25,635,153,207,73,403,111,291,98,3149,246,1659,166,296,74,84,47
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",5450,180,2673,134,1,3,0,17,17,18,13,19,37,45,33,39,61,45,27,24,452,115,68,51,283,98,87,48,977,133,350,99,228,61,39,33,2777,123,9,14,0,17,23,28,25,28,0,17,0,17,11,17,60,45,445,104,86,49,333,110,220,84,882,136,494,112,116,48,73,45
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",39086,478,18499,382,88,63,21,22,49,38,214,97,84,55,94,54,127,68,182,74,2606,301,552,136,1443,190,810,163,6778,371,3624,309,1387,203,440,113,20587,384,118,74,29,31,82,41,166,68,162,81,99,55,139,56,144,65,3448,359,812,167,1561,232,1276,171,6695,331,4525,325,960,145,371,94
