GEO.id,GEO.id2,GEO.display-label,B15002_001E,B15002_001M,B15002_002E,B15002_002M,B15002_003E,B15002_003M,B15002_004E,B15002_004M,B15002_005E,B15002_005M,B15002_006E,B15002_006M,B15002_007E,B15002_007M,B15002_008E,B15002_008M,B15002_009E,B15002_009M,B15002_010E,B15002_010M,B15002_011E,B15002_011M,B15002_012E,B15002_012M,B15002_013E,B15002_013M,B15002_014E,B15002_014M,B15002_015E,B15002_015M,B15002_016E,B15002_016M,B15002_017E,B15002_017M,B15002_018E,B15002_018M,B15002_019E,B15002_019M,B15002_020E,B15002_020M,B15002_021E,B15002_021M,B15002_022E,B15002_022M,B15002_023E,B15002_023M,B15002_024E,B15002_024M,B15002_025E,B15002_025M,B15002_026E,B15002_026M,B15002_027E,B15002_027M,B15002_028E,B15002_028M,B15002_029E,B15002_029M,B15002_030E,B15002_030M,B15002_031E,B15002_031M,B15002_032E,B15002_032M,B15002_033E,B15002_033M,B15002_034E,B15002_034M,B15002_035E,B15002_035M
0600000US0900549460,900549460,"Morris town, Litchfield County, Connecticut",1562,187,760,111,7,11,0,13,4,7,6,9,0,13,9,10,19,19,0,13,285,99,19,19,53,43,78,40,177,57,84,41,19,20,0,13,802,130,0,13,0,13,0,13,0,13,0,13,8,13,0,13,11,13,214,72,32,22,218,119,88,40,97,48,102,46,10,11,22,26
0600000US0900551350,900551350,"New Hartford town, Litchfield County, Connecticut",4470,301,2176,200,5,9,0,18,2,6,15,23,0,18,0,18,14,22,0,18,529,176,168,103,302,131,230,121,655,213,228,104,14,24,14,23,2294,200,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,396,139,164,88,380,148,273,101,606,168,417,154,58,52,0,18
0600000US0900552630,900552630,"New Milford town, Litchfield County, Connecticut",19584,455,9105,366,29,30,9,14,32,27,34,33,106,82,91,70,116,71,156,102,2420,387,526,155,1289,301,684,163,2645,394,764,183,61,44,143,74,10479,337,49,52,32,48,12,13,29,30,36,38,102,76,62,62,131,63,2777,441,716,197,1255,371,880,201,2944,403,1249,268,107,69,98,55
0600000US0900553470,900553470,"Norfolk town, Litchfield County, Connecticut",1249,104,608,63,3,4,4,6,0,13,0,13,7,8,10,14,0,13,3,4,197,48,44,19,49,18,53,29,133,41,45,22,21,12,39,17,641,68,0,13,0,13,0,13,0,13,7,7,13,15,5,6,0,13,140,36,28,20,55,29,81,34,155,35,121,35,28,20,8,8
0600000US0900554030,900554030,"North Canaan town, Litchfield County, Connecticut",2397,175,1259,116,7,8,0,13,0,13,53,47,53,44,29,32,77,55,3,7,462,139,38,25,189,138,63,33,174,109,75,57,36,30,0,13,1138,145,19,19,0,13,33,30,0,13,12,28,15,23,3,10,14,17,345,94,114,63,157,84,139,102,197,89,74,56,8,13,8,12
0600000US0900560750,900560750,"Plymouth town, Litchfield County, Connecticut",8400,266,4092,221,25,21,32,47,12,18,68,61,26,33,44,39,54,42,57,39,1690,256,197,83,546,167,267,88,752,221,232,81,74,60,16,27,4308,230,31,28,43,49,0,20,0,20,5,7,10,13,64,59,41,29,1264,227,288,98,607,158,743,263,689,190,468,130,20,20,35,25
0600000US0900565930,900565930,"Roxbury town, Litchfield County, Connecticut",1631,201,855,150,0,13,0,13,0,13,0,13,9,10,3,5,0,13,6,8,105,39,21,17,200,122,28,18,277,90,114,44,63,29,29,20,776,93,0,13,0,13,0,13,0,13,0,13,0,13,5,7,5,7,146,59,37,21,67,32,16,14,259,57,138,51,73,46,30,25
0600000US0900566420,900566420,"Salisbury town, Litchfield County, Connecticut",2694,235,1259,151,12,18,0,13,0,13,2,5,0,13,46,50,20,26,0,13,235,120,263,202,78,70,64,60,252,104,191,93,57,42,39,34,1435,145,16,19,0,13,0,13,12,22,0,13,7,15,9,16,0,13,342,124,69,41,82,63,87,51,445,160,286,97,57,42,23,26
0600000US0900567960,900567960,"Sharon town, Litchfield County, Connecticut",2152,212,931,149,4,6,0,13,0,13,34,49,0,13,0,13,10,15,0,13,290,94,4,7,118,68,32,28,201,83,105,54,122,76,11,18,1221,202,13,21,0,13,0,13,0,13,0,13,15,26,45,53,0,13,252,123,18,28,82,56,125,74,489,240,135,71,36,27,11,19
0600000US0900575730,900575730,"Thomaston town, Litchfield County, Connecticut",5340,223,2878,234,3,6,0,18,0,18,224,213,11,18,27,26,77,75,62,43,1077,213,197,75,306,95,266,106,492,142,93,56,0,18,43,62,2462,142,10,15,0,18,0,18,25,35,19,22,0,18,57,47,36,35,742,156,122,60,249,112,332,124,456,116,387,109,27,29,0,18
0600000US0900576570,900576570,"Torrington town, Litchfield County, Connecticut",25266,622,12186,498,81,55,14,21,172,161,152,64,82,46,260,89,252,121,198,86,5046,409,843,151,1705,351,810,148,1651,279,809,212,56,40,55,31,13080,463,108,72,26,40,181,78,134,68,134,70,140,81,189,91,275,122,4472,518,975,245,1663,370,1649,322,1877,253,1025,212,199,84,33,24
0600000US0900579510,900579510,"Warren town, Litchfield County, Connecticut",1012,79,515,71,0,13,0,13,0,13,4,6,0,13,0,13,7,7,3,4,91,25,28,12,67,23,29,14,163,63,74,27,31,14,18,15,497,39,3,4,0,13,0,13,0,13,5,7,5,6,4,6,8,10,121,27,27,17,47,17,25,13,116,31,109,28,13,9,14,11
0600000US0900579720,900579720,"Washington town, Litchfield County, Connecticut",2586,162,1264,159,0,13,0,13,37,50,0,13,0,13,0,13,33,76,0,13,208,73,57,40,148,83,74,47,362,114,200,91,128,66,17,19,1322,143,8,14,0,13,0,13,0,13,0,13,0,13,30,42,0,13,191,79,46,33,201,99,36,28,517,136,197,82,82,44,14,16
0600000US0900580490,900580490,"Watertown town, Litchfield County, Connecticut",16423,455,7993,469,104,90,31,35,71,64,77,72,110,95,124,130,99,61,128,95,2820,364,428,181,958,247,682,224,1578,286,517,159,218,106,48,42,8430,465,37,35,114,138,30,42,55,45,82,83,86,55,37,38,106,62,2217,381,515,157,1151,552,951,274,1766,338,1097,264,85,59,101,64
0600000US0900586440,900586440,"Winchester town, Litchfield County, Connecticut",8370,293,4224,293,40,38,0,20,0,20,30,34,16,22,5,5,0,20,30,34,1870,349,246,148,481,261,330,178,820,238,323,124,0,20,33,48,4146,313,22,24,0,20,0,20,143,120,0,20,37,50,76,95,69,59,1199,314,329,169,461,183,583,235,579,218,535,278,35,39,78,82
0600000US0900587910,900587910,"Woodbury town, Litchfield County, Connecticut",7515,236,3678,329,0,18,0,18,0,18,0,18,16,25,33,39,10,16,59,75,1089,477,165,83,481,165,188,119,838,211,503,121,258,164,38,36,3837,294,0,18,0,18,18,27,35,39,50,52,0,18,0,18,49,35,657,258,278,96,595,172,315,137,821,187,919,186,84,98,16,25
0600000US0900700000,900700000,"County subdivisions not defined, Middlesex County, Connecticut",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0600000US0900714300,900714300,"Chester town, Middlesex County, Connecticut",3168,219,1441,154,35,51,0,13,0,13,20,20,19,30,10,14,18,26,0,13,333,125,46,47,418,143,75,40,285,86,98,50,54,50,30,30,1727,177,0,13,0,13,0,13,18,24,0,13,0,13,0,13,9,15,345,101,58,57,568,159,137,78,332,112,202,84,49,47,9,16
0600000US0900715350,900715350,"Clinton town, Middlesex County, Connecticut",9585,272,4626,228,1,4,0,20,16,23,28,37,10,14,49,35,113,70,85,66,1154,179,162,66,922,248,311,115,1020,184,444,129,152,85,159,88,4959,207,3,4,0,20,0,20,8,13,38,35,44,25,88,57,45,32,1155,215,205,70,563,126,707,189,1189,200,734,173,147,97,33,27
0600000US0900718080,900718080,"Cromwell town, Middlesex County, Connecticut",10495,356,5299,373,141,90,16,23,0,20,36,33,24,36,26,42,15,25,59,54,1295,272,360,185,666,286,310,132,1303,247,868,291,160,93,20,32,5196,334,77,68,16,27,0,20,16,25,32,33,0,20,20,26,134,105,1141,236,194,102,621,149,620,195,1156,260,937,273,152,100,80,56
0600000US0900719130,900719130,"Deep River town, Middlesex County, Connecticut",3338,185,1610,197,0,13,12,18,0,13,27,44,15,18,1,4,0,13,0,13,403,152,101,56,101,52,154,82,583,176,164,97,12,14,37,33,1728,155,29,43,0,13,40,61,0,13,5,9,0,13,11,17,0,13,506,136,44,36,171,114,255,127,319,107,268,127,41,43,39,32
0600000US0900720810,900720810,"Durham town, Middlesex County, Connecticut",5594,275,2680,255,62,67,0,18,0,18,14,23,9,13,11,18,37,38,0,18,651,236,143,120,212,90,191,91,834,285,359,128,107,67,50,49,2914,282,41,61,0,18,3,7,0,18,0,18,15,24,15,22,0,18,582,192,165,94,293,107,171,104,762,231,682,349,63,46,122,77
0600000US0900722280,900722280,"East Haddam town, Middlesex County, Connecticut",6861,270,3477,263,65,66,10,19,0,18,13,25,76,87,55,87,0,18,10,17,1003,246,191,109,393,135,357,163,781,182,331,131,128,71,64,49,3384,172,11,18,0,18,0,18,17,25,15,23,1,4,4,11,0,18,778,195,144,83,680,201,291,130,1008,194,324,120,61,57,50,45
0600000US0900722490,900722490,"East Hampton town, Middlesex County, Connecticut",9160,282,4556,262,134,199,0,20,0,20,0,20,27,24,115,71,47,43,40,35,1208,256,500,216,639,198,346,110,848,204,450,133,175,83,27,46,4604,190,68,101,0,20,0,20,46,38,8,13,30,42,22,23,59,76,1219,201,368,114,542,164,537,192,966,202,710,166,6,12,23,25
0600000US0900726270,900726270,"Essex town, Middlesex County, Connecticut",4825,254,2367,212,0,18,0,18,0,18,9,19,0,18,20,31,21,33,18,28,614,236,92,55,166,88,50,64,829,207,325,118,163,93,60,52,2458,228,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,499,160,35,37,223,102,355,171,747,178,440,150,62,55,97,78
