GEO.id2,GEO.id,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35
Id2,Id,Geography,Estimate;  Total: ,Margins of Error;  Total: ,Estimate;  Male: ,Margins of Error;  Male: ,Estimate;  Male: No schooling completed ,Margins of Error;  Male: No schooling completed ,Estimate;  Male: Nursery to 4th grade ,Margins of Error;  Male: Nursery to 4th grade ,Estimate;  Male: 5th and 6th grade ,Margins of Error;  Male: 5th and 6th grade ,Estimate;  Male: 7th and 8th grade ,Margins of Error;  Male: 7th and 8th grade ,Estimate;  Male: 9th grade ,Margins of Error;  Male: 9th grade ,Estimate;  Male: 10th grade ,Margins of Error;  Male: 10th grade ,Estimate;  Male: 11th grade ,Margins of Error;  Male: 11th grade ,"Estimate;  Male: 12th grade, no diploma ","Margins of Error;  Male: 12th grade, no diploma ","Estimate;  Male: High school graduate, GED, or alternative ","Margins of Error;  Male: High school graduate, GED, or alternative ","Estimate;  Male: Some college, less than 1 year ","Margins of Error;  Male: Some college, less than 1 year ","Estimate;  Male: Some college, 1 or more years, no degree ","Margins of Error;  Male: Some college, 1 or more years, no degree ",Estimate;  Male: Associate's degree ,Margins of Error;  Male: Associate's degree ,Estimate;  Male: Bachelor's degree ,Margins of Error;  Male: Bachelor's degree ,Estimate;  Male: Master's degree ,Margins of Error;  Male: Master's degree ,Estimate;  Male: Professional school degree ,Margins of Error;  Male: Professional school degree ,Estimate;  Male: Doctorate degree ,Margins of Error;  Male: Doctorate degree ,Estimate;  Female: ,Margins of Error;  Female: ,Estimate;  Female: No schooling completed ,Margins of Error;  Female: No schooling completed ,Estimate;  Female: Nursery to 4th grade ,Margins of Error;  Female: Nursery to 4th grade ,Estimate;  Female: 5th and 6th grade ,Margins of Error;  Female: 5th and 6th grade ,Estimate;  Female: 7th and 8th grade ,Margins of Error;  Female: 7th and 8th grade ,Estimate;  Female: 9th grade ,Margins of Error;  Female: 9th grade ,Estimate;  Female: 10th grade ,Margins of Error;  Female: 10th grade ,Estimate;  Female: 11th grade ,Margins of Error;  Female: 11th grade ,"Estimate;  Female: 12th grade, no diploma ","Margins of Error;  Female: 12th grade, no diploma ","Estimate;  Female: High school graduate, GED, or alternative ","Margins of Error;  Female: High school graduate, GED, or alternative ","Estimate;  Female: Some college, less than 1 year ","Margins of Error;  Female: Some college, less than 1 year ","Estimate;  Female: Some college, 1 or more years, no degree ","Margins of Error;  Female: Some college, 1 or more years, no degree ",Estimate;  Female: Associate's degree ,Margins of Error;  Female: Associate's degree ,Estimate;  Female: Bachelor's degree ,Margins of Error;  Female: Bachelor's degree ,Estimate;  Female: Master's degree ,Margins of Error;  Female: Master's degree ,Estimate;  Female: Professional school degree ,Margins of Error;  Female: Professional school degree ,Estimate;  Female: Doctorate degree ,Margins of Error;  Female: Doctorate degree 
0900325990,06000US0900325990,"Enfield town, Hartford County, Connecticut",32339,477,16921,472,75,70,96,66,57,35,232,115,198,81,579,203,692,211,299,123,6623,481,1270,187,1976,267,1196,214,2370,278,929,158,219,84,110,58,15418,466,97,45,103,98,78,84,240,96,218,110,284,117,162,78,237,80,5520,393,977,180,2128,264,1501,224,2421,246,1170,165,252,100,30,30
0900327600,06000US0900327600,"Farmington town, Hartford County, Connecticut",17922,397,8508,276,87,55,45,35,8,12,49,31,1,4,30,30,25,21,123,81,1636,272,462,133,688,147,503,136,2447,228,1316,225,716,135,372,128,9414,290,123,70,4,8,0,22,76,39,66,89,35,29,29,25,73,42,1867,257,539,148,790,158,650,137,2724,267,1773,253,443,116,222,85
0900331240,06000US0900331240,"Glastonbury town, Hartford County, Connecticut",23806,338,11105,301,88,92,0,25,15,21,12,17,11,15,100,87,16,20,97,55,1698,276,357,118,1068,219,562,177,3220,266,2262,247,1150,197,449,114,12701,279,96,53,19,29,30,30,133,74,116,62,64,43,57,52,57,35,1852,294,418,109,1223,223,1149,228,3660,345,2950,292,663,146,214,85
0900332640,06000US0900332640,"Granby town, Hartford County, Connecticut",8027,219,3894,230,3,7,8,17,0,19,19,24,0,19,0,19,0,19,32,35,787,193,101,62,283,109,287,137,1493,213,675,169,144,99,62,48,4133,152,0,19,16,26,0,19,8,17,11,17,0,19,34,36,0,19,766,158,321,144,347,124,297,116,1241,187,863,179,163,101,66,51
0900337070,06000US0900337070,"Hartford town, Hartford County, Connecticut",73543,948,34107,873,1049,222,925,215,1555,349,1410,263,1245,294,1271,324,1870,325,930,189,11278,643,1440,272,4263,463,1514,241,3170,386,1330,271,648,175,209,88,39436,672,1037,213,970,217,1308,219,1795,327,1949,290,1474,254,2008,318,1019,188,11354,644,1969,313,6010,438,2843,344,3165,319,1883,241,498,132,154,76
0900337140,06000US0900337140,"Hartland town, Hartford County, Connecticut",1563,87,727,51,0,12,0,12,0,12,0,12,19,14,2,3,1,2,14,13,243,36,48,20,64,21,71,28,190,43,63,20,5,5,7,7,836,65,7,11,0,12,0,12,4,9,16,11,8,8,28,16,2,4,258,52,89,32,85,24,83,23,158,44,85,31,10,9,3,5
0900344700,06000US0900344700,"Manchester town, Hartford County, Connecticut",40677,643,18944,552,168,87,12,19,133,82,106,70,233,149,254,100,212,119,285,96,5043,437,1065,246,2325,328,1388,272,4812,381,2219,336,419,105,270,110,21733,541,186,79,34,27,138,84,216,105,301,139,280,140,303,137,242,89,5701,424,1363,237,3209,371,2136,301,4595,448,2344,267,383,127,302,116
0900345820,06000US0900345820,"Marlborough town, Hartford County, Connecticut",4468,195,2146,153,2,7,0,17,0,17,2,4,0,17,0,17,24,38,53,46,550,146,90,64,299,129,88,66,643,146,278,117,81,54,36,37,2322,133,2,4,0,17,0,17,16,25,9,15,21,30,47,66,18,28,391,117,22,25,273,136,170,93,597,150,667,163,76,68,13,21
0900350440,06000US0900350440,"New Britain town, Hartford County, Connecticut",46634,850,21690,657,461,149,357,140,419,154,856,201,490,175,720,164,977,184,461,117,8296,540,1178,225,2322,278,1165,221,2373,325,1085,222,247,114,283,122,24944,529,414,127,380,123,506,163,742,178,755,192,692,194,888,194,468,127,9012,534,1675,246,2908,358,1906,246,2693,343,1427,194,342,124,136,71
0900352140,06000US0900352140,"Newington town, Hartford County, Connecticut",22662,353,10375,333,200,99,19,20,123,55,94,44,100,83,74,44,122,52,152,64,2710,345,654,136,1380,240,814,146,2596,314,1046,166,210,78,81,51,12287,287,186,68,31,35,141,74,175,68,131,71,106,48,112,77,137,72,3457,294,681,169,1393,210,1229,234,2573,271,1700,220,148,51,87,69
0900360120,06000US0900360120,"Plainville town, Hartford County, Connecticut",12854,328,5840,301,81,65,23,32,46,47,116,73,147,93,230,135,84,73,44,36,2031,279,395,144,884,202,402,146,957,187,348,163,25,28,27,35,7014,315,88,75,42,42,30,38,71,65,40,40,90,47,177,92,28,31,2304,288,459,129,943,212,947,207,1173,237,540,169,58,51,24,28
0900365370,06000US0900365370,"Rocky Hill town, Hartford County, Connecticut",14522,347,6887,506,39,38,22,30,33,34,59,42,107,99,88,58,59,44,71,48,1746,347,272,129,768,238,533,155,1993,327,774,178,184,107,139,100,7635,472,50,41,4,8,125,117,137,84,9,17,57,44,3,8,158,66,1849,302,331,123,990,198,554,127,2235,350,998,199,87,55,48,45
0900368940,06000US0900368940,"Simsbury town, Hartford County, Connecticut",16257,297,7514,227,13,18,0,22,66,151,5,8,27,39,37,28,5,7,80,56,717,158,273,87,765,136,332,104,2907,239,1436,153,690,100,161,62,8743,247,22,24,3,6,47,55,27,23,9,11,17,21,0,22,42,28,1039,199,494,146,853,144,768,170,2877,239,2146,224,310,96,89,43
0900370550,06000US0900370550,"Southington town, Hartford County, Connecticut",31378,411,15461,416,93,57,0,25,29,28,152,69,103,56,163,69,103,49,280,103,4565,432,1022,186,2347,278,1260,265,3265,334,1534,245,396,128,149,69,15917,316,86,44,27,23,55,70,195,71,130,65,314,146,161,74,224,91,4587,349,1061,196,1673,235,1660,213,3189,321,2213,221,274,95,68,44
0900371390,06000US0900371390,"South Windsor town, Hartford County, Connecticut",17983,370,8491,282,54,39,54,56,0,22,37,37,9,11,90,51,52,45,94,54,1747,291,240,102,824,192,688,161,2556,289,1395,236,409,119,242,108,9492,275,121,76,5,7,71,60,127,82,41,36,68,70,89,61,114,75,2080,285,448,132,1018,218,767,137,2489,330,1607,202,378,117,69,46
0900374540,06000US0900374540,"Suffield town, Hartford County, Connecticut",10953,267,6183,294,40,37,31,28,48,47,117,66,206,103,159,91,262,136,79,49,1533,217,283,81,1020,210,334,97,1241,166,538,134,210,96,82,64,4770,235,34,36,0,19,13,20,23,22,4,11,8,12,45,47,4,10,1084,189,439,158,589,158,460,115,1240,190,629,140,117,58,81,47
0900382590,06000US0900382590,"West Hartford town, Hartford County, Connecticut",44400,593,20075,543,156,82,85,62,86,41,102,72,103,54,179,74,164,80,242,105,3416,525,503,115,1864,227,797,174,5640,351,3280,300,2333,241,1125,173,24325,533,308,120,165,74,196,85,217,81,142,70,208,100,256,132,191,64,4178,411,809,167,2345,274,1467,190,6539,374,5104,449,1515,190,685,144
0900384900,06000US0900384900,"Wethersfield town, Hartford County, Connecticut",19465,316,8916,270,52,50,30,48,113,69,78,42,84,57,195,71,141,91,151,77,2126,250,574,156,1047,194,454,120,2355,275,971,167,402,145,143,64,10549,324,77,52,108,86,261,122,139,61,57,44,138,67,140,68,119,59,2569,245,751,148,1048,183,930,202,2386,230,1407,217,341,123,78,55
0900387000,06000US0900387000,"Windsor town, Hartford County, Connecticut",20453,353,9454,416,68,51,21,22,50,38,155,107,91,64,42,35,255,136,130,63,2647,317,507,135,1271,221,808,175,1895,255,1086,203,266,120,162,87,10999,387,93,65,25,25,129,95,75,47,117,81,102,54,132,69,91,58,2427,292,636,141,1431,219,1406,212,2288,263,1729,258,142,61,176,111
0900387070,06000US0900387070,"Windsor Locks town, Hartford County, Connecticut",9321,270,4583,244,38,39,0,19,10,15,26,31,15,16,86,76,129,83,159,76,1490,231,383,133,527,139,572,170,753,160,322,110,45,42,28,26,4738,247,20,32,39,31,48,75,67,48,6,12,60,58,85,48,22,26,1780,205,366,132,673,183,472,149,655,154,332,103,63,44,50,52
0900502760,06000US0900502760,"Barkhamsted town, Litchfield County, Connecticut",2668,125,1266,89,1,4,0,12,0,12,19,20,9,15,8,12,0,12,10,16,408,105,79,35,104,44,127,72,341,100,93,48,50,32,17,19,1402,95,1,3,0,12,0,12,0,12,10,16,9,14,0,12,7,12,299,81,63,40,159,65,150,59,540,152,140,65,8,14,16,19
0900504930,06000US0900504930,"Bethlehem town, Litchfield County, Connecticut",2524,153,1203,117,0,12,0,12,0,12,44,40,17,20,9,14,8,13,0,12,342,86,83,41,182,76,104,51,241,101,136,71,28,41,9,14,1321,87,0,12,0,12,0,12,17,19,15,17,26,24,25,22,0,12,314,93,138,69,136,54,120,61,277,75,207,74,37,33,9,14
0900508210,06000US0900508210,"Bridgewater town, Litchfield County, Connecticut",1325,78,638,62,4,5,5,7,0,12,0,12,0,12,7,5,0,12,15,10,119,39,22,14,78,23,35,21,205,40,72,25,47,27,29,20,687,52,0,12,3,5,4,5,3,5,0,12,0,12,0,12,10,8,146,37,51,23,73,31,34,21,202,38,142,30,16,11,3,4
0900510940,06000US0900510940,"Canaan town, Litchfield County, Connecticut",967,102,458,59,0,12,0,12,0,12,3,4,3,5,9,9,8,7,0,12,135,37,15,11,83,37,42,26,89,31,40,16,18,11,13,10,509,61,0,12,0,12,0,12,0,12,0,12,9,9,11,13,3,4,121,36,21,14,77,36,61,23,127,31,59,19,17,10,3,4
0900516050,06000US0900516050,"Colebrook town, Litchfield County, Connecticut",1200,106,642,67,0,12,4,6,0,12,0,12,3,4,8,9,9,13,12,9,257,50,25,15,61,31,82,32,72,29,71,26,31,22,7,7,558,55,0,12,0,12,0,12,0,12,3,4,10,15,0,12,2,5,140,35,82,30,92,37,66,25,105,32,33,13,9,6,16,16
0900517240,06000US0900517240,"Cornwall town, Litchfield County, Connecticut",1103,92,512,55,3,5,0,12,0,12,4,5,4,7,4,5,6,6,7,6,102,35,9,8,45,18,38,22,130,29,99,45,51,21,10,11,591,58,0,12,0,12,0,12,4,5,0,12,8,8,17,13,3,4,93,27,10,9,21,12,59,23,180,47,158,37,30,17,8,7
0900532290,06000US0900532290,"Goshen town, Litchfield County, Connecticut",2235,142,1138,105,10,16,0,12,0,12,12,18,10,15,54,51,16,25,10,15,296,89,8,13,210,96,63,50,212,69,133,51,104,69,0,12,1097,99,0,12,0,12,0,12,8,13,2,5,8,13,0,12,40,35,193,71,75,42,208,76,117,55,210,86,166,78,63,35,7,11
0900537280,06000US0900537280,"Harwinton town, Litchfield County, Connecticut",4063,120,2039,113,38,36,0,17,8,13,1,5,53,45,34,33,33,23,36,30,607,113,152,53,207,76,171,71,380,95,196,68,91,58,32,27,2024,80,20,31,0,17,0,17,0,17,26,37,42,37,26,21,50,44,440,87,138,59,253,84,298,81,490,101,220,79,21,23,0,17
0900540290,06000US0900540290,"Kent town, Litchfield County, Connecticut",2143,139,1027,99,0,12,1,3,0,12,0,12,2,4,10,12,12,17,16,22,188,75,35,30,147,68,105,74,235,71,207,85,28,25,41,49,1116,113,0,12,0,12,0,12,7,5,7,11,10,15,20,20,0,12,221,71,49,37,160,70,67,46,336,88,189,71,35,30,15,16
0900543370,06000US0900543370,"Litchfield town, Litchfield County, Connecticut",6051,206,2789,147,6,6,2,3,0,17,33,21,38,26,10,9,27,23,20,18,857,127,100,42,365,84,207,56,584,104,327,81,157,46,56,27,3262,170,4,5,15,20,14,16,49,38,1,4,14,11,43,26,23,17,677,105,110,43,532,164,338,93,757,125,614,180,34,21,37,25
0900549460,06000US0900549460,"Morris town, Litchfield County, Connecticut",1717,122,845,74,0,12,0,12,0,12,11,17,4,5,17,19,12,14,3,5,268,62,74,36,92,43,78,34,179,47,47,23,29,27,31,28,872,75,5,7,0,12,4,6,16,19,0,12,21,18,0,12,8,9,161,44,63,28,130,37,125,48,200,56,100,48,28,25,11,11
0900551350,06000US0900551350,"New Hartford town, Litchfield County, Connecticut",4921,215,2463,205,2,6,30,44,0,17,84,57,21,33,28,34,17,28,26,29,646,192,85,58,453,172,201,113,563,158,207,83,64,51,36,45,2458,140,0,17,0,17,33,53,16,24,58,94,22,33,44,45,0,17,455,129,104,64,400,155,154,80,625,170,461,160,69,80,17,28
0900552630,06000US0900552630,"New Milford town, Litchfield County, Connecticut",19382,422,9440,331,22,29,35,35,17,19,148,84,62,52,59,55,385,151,60,44,2458,284,559,152,1324,240,761,204,2348,296,898,198,185,94,119,64,9942,324,14,19,35,36,135,89,99,93,86,57,113,62,108,63,136,79,2486,299,816,176,1067,199,818,188,2546,272,1327,287,91,59,65,54
0900553470,06000US0900553470,"Norfolk town, Litchfield County, Connecticut",1067,111,543,68,0,12,0,12,0,12,6,6,4,6,13,10,18,17,7,8,109,33,31,22,60,20,48,30,125,38,70,23,46,25,6,6,524,57,3,4,0,12,0,12,0,12,0,12,7,7,6,6,8,8,158,41,19,10,57,27,41,19,112,32,102,29,9,8,2,4
0900554030,06000US0900554030,"North Canaan town, Litchfield County, Connecticut",2588,130,1368,127,35,59,7,15,0,12,0,12,59,46,72,39,62,52,30,32,573,137,49,48,132,72,166,77,125,98,40,34,18,21,0,12,1220,109,3,5,0,12,0,12,9,20,32,28,9,17,29,46,27,28,571,122,72,54,96,46,159,88,127,72,64,59,11,17,11,17
0900560750,06000US0900560750,"Plymouth town, Litchfield County, Connecticut",8384,265,4092,201,26,22,0,19,19,20,35,29,41,36,50,34,178,86,88,49,1633,221,318,102,656,150,268,95,457,137,263,97,60,45,0,19,4292,193,23,23,9,14,11,18,67,58,77,56,105,73,90,62,66,43,1441,157,284,90,574,129,696,168,531,132,251,88,54,49,13,18
0900565930,06000US0900565930,"Roxbury town, Litchfield County, Connecticut",1707,97,865,68,0,12,0,12,0,12,0,12,5,8,0,12,21,21,6,10,129,44,39,22,76,32,68,37,300,59,145,51,64,33,12,14,842,58,5,8,0,12,2,5,0,12,0,12,0,12,6,9,0,12,169,50,39,24,99,43,99,45,274,58,130,33,7,10,12,12
0900566420,06000US0900566420,"Salisbury town, Litchfield County, Connecticut",2674,175,1254,125,0,12,0,12,8,13,0,12,1,2,8,13,33,30,9,15,266,92,40,32,76,45,69,62,401,107,211,75,79,45,53,38,1420,110,1,2,0,12,0,12,1,2,0,12,37,31,0,12,0,12,193,81,38,26,262,82,117,75,478,98,256,67,22,24,15,21
0900567960,06000US0900567960,"Sharon town, Litchfield County, Connecticut",2259,90,1085,128,7,14,0,12,0,12,0,12,5,8,24,26,0,12,7,11,296,107,80,40,108,72,35,28,285,93,120,74,91,58,27,29,1174,112,15,23,18,23,0,12,26,41,12,16,8,12,38,37,0,12,191,79,64,42,144,66,170,92,261,94,199,77,28,25,0,12
0900575730,06000US0900575730,"Thomaston town, Litchfield County, Connecticut",5508,148,2467,133,13,17,0,17,7,13,10,14,50,32,42,30,38,30,60,40,973,151,181,72,367,103,204,92,356,89,127,55,18,21,21,21,3041,114,21,21,8,12,10,16,40,47,36,26,34,28,79,38,74,42,980,141,208,79,321,95,382,93,474,114,330,88,44,27,0,17
0900576570,06000US0900576570,"Torrington town, Litchfield County, Connecticut",26263,412,12569,360,251,119,23,25,194,90,373,175,212,101,378,123,271,108,346,138,4941,406,765,144,1408,242,821,171,1725,243,626,128,157,68,78,47,13694,374,154,94,103,55,105,85,435,119,140,63,195,80,300,111,215,76,4970,372,1005,175,1792,234,1402,224,1846,229,902,163,81,43,49,31
0900579510,06000US0900579510,"Warren town, Litchfield County, Connecticut",1078,67,545,41,0,12,0,12,0,12,6,6,5,5,5,6,0,12,16,10,139,29,26,16,64,23,46,21,130,31,65,24,20,12,23,17,533,44,0,12,0,12,0,12,0,12,0,12,0,12,9,7,11,9,135,28,15,10,72,27,31,16,165,43,82,27,13,9,0,12
0900579720,06000US0900579720,"Washington town, Litchfield County, Connecticut",2648,147,1361,132,0,12,15,19,0,12,0,12,0,12,16,18,10,12,0,12,232,89,74,40,128,55,99,63,431,128,226,86,91,45,39,32,1287,116,0,12,0,12,7,11,0,12,0,12,18,14,0,12,8,13,308,124,67,52,84,42,176,77,385,106,204,77,19,18,11,17
0900580490,06000US0900580490,"Watertown town, Litchfield County, Connecticut",15706,363,7418,298,46,43,5,13,27,61,97,60,131,75,118,82,66,54,130,73,2482,358,566,184,1013,192,607,215,1201,195,631,191,199,85,99,70,8288,290,15,25,74,60,45,38,52,41,35,33,98,54,122,68,65,46,2296,286,397,123,1156,244,924,207,1713,334,1188,210,57,47,51,51
0900586440,06000US0900586440,"Winchester town, Litchfield County, Connecticut",8141,336,3850,262,94,91,0,19,30,34,97,94,105,91,152,92,0,19,74,68,1378,252,275,93,733,197,252,112,404,144,193,80,32,40,31,35,4291,276,0,19,13,19,0,19,81,45,115,97,195,105,31,36,51,40,1392,234,424,145,587,175,285,110,680,171,307,91,129,105,1,2
0900587910,06000US0900587910,"Woodbury town, Litchfield County, Connecticut",7372,207,3498,201,43,43,0,17,0,17,32,39,26,26,11,18,27,21,44,39,828,160,76,52,494,143,201,82,923,179,512,157,165,70,116,87,3874,171,37,42,10,16,0,17,49,76,0,17,16,17,31,24,34,33,782,154,205,85,459,124,365,122,944,163,692,154,209,100,41,39
0900714300,06000US0900714300,"Chester town, Middlesex County, Connecticut",3285,118,1519,136,20,27,9,21,0,12,7,16,0,12,37,41,4,8,22,23,446,114,57,37,248,101,125,65,363,95,89,48,67,42,25,23,1766,129,7,15,0,12,0,12,0,12,23,28,0,12,14,22,10,15,505,141,60,33,277,102,105,49,382,106,301,77,51,34,31,28
0900715350,06000US0900715350,"Clinton town, Middlesex County, Connecticut",9625,234,4551,202,15,15,1,3,2,5,60,55,10,14,74,44,89,60,34,25,1465,239,290,84,742,186,287,91,766,132,554,112,122,57,40,31,5074,231,8,15,0,19,16,20,43,33,16,17,61,52,55,49,88,62,1524,208,369,94,641,126,379,89,1083,156,627,166,101,64,63,32
0900718080,06000US0900718080,"Cromwell town, Middlesex County, Connecticut",10674,293,5149,343,51,36,0,19,2,4,74,59,46,52,74,60,58,43,59,45,1375,250,268,110,741,208,242,115,1267,269,729,149,120,64,43,36,5525,253,46,40,0,19,53,47,66,54,20,26,106,62,62,61,58,49,1637,206,402,123,554,177,427,139,1352,201,627,143,95,77,20,31
0900719130,06000US0900719130,"Deep River town, Middlesex County, Connecticut",3344,164,1626,133,0,12,0,12,1,3,12,19,2,4,9,14,0,12,48,48,710,159,110,53,243,90,108,56,242,85,122,63,11,17,8,12,1718,121,0,12,0,12,0,12,12,19,0,12,34,35,13,19,9,15,521,113,66,36,221,70,120,53,374,110,302,108,46,37,0,12
0900720810,06000US0900720810,"Durham town, Middlesex County, Connecticut",5052,167,2479,121,2,4,4,11,0,17,0,17,15,24,53,64,14,24,45,42,579,191,85,45,215,83,147,114,674,170,439,150,138,73,69,52,2573,143,0,17,0,17,3,4,2,4,3,8,6,6,72,77,40,37,570,153,170,76,319,104,130,70,585,144,517,148,92,76,64,41
0900722280,06000US0900722280,"East Haddam town, Middlesex County, Connecticut",6443,222,3082,177,9,14,3,8,0,17,24,27,0,17,23,27,17,29,56,40,1007,178,154,69,367,115,340,106,639,154,384,122,35,34,24,29,3361,190,47,42,9,14,0,17,14,23,5,10,45,41,12,20,20,24,906,171,220,88,424,125,404,145,718,169,417,112,42,37,78,86
0900722490,06000US0900722490,"East Hampton town, Middlesex County, Connecticut",9222,244,4540,250,2,4,4,9,0,19,38,35,7,12,57,59,28,26,31,34,1262,222,205,85,654,147,415,116,1108,177,614,146,66,41,49,48,4682,221,14,15,0,19,0,19,8,12,18,25,22,24,49,39,48,42,1303,224,231,112,413,96,556,153,1032,201,816,181,93,76,79,48
0900726270,06000US0900726270,"Essex town, Middlesex County, Connecticut",5015,161,2252,140,16,24,0,17,0,17,0,17,15,26,0,17,108,113,24,29,404,126,97,66,188,81,127,75,768,165,366,131,94,56,45,35,2763,160,0,17,1,3,0,17,1,3,15,24,23,34,0,17,0,17,411,137,289,126,433,147,234,88,882,184,362,127,72,43,40,40
0900735230,06000US0900735230,"Haddam town, Middlesex County, Connecticut",5860,275,2755,201,0,17,5,13,0,17,21,24,28,39,0,17,0,17,15,23,809,194,90,61,325,120,159,84,788,184,322,104,103,69,90,72,3105,183,30,34,0,17,0,17,12,20,0,17,46,43,15,24,14,24,651,149,217,90,326,139,456,153,674,151,536,151,77,67,51,57
0900740710,06000US0900740710,"Killingworth town, Middlesex County, Connecticut",4693,140,2250,105,0,17,0,17,17,27,0,17,0,17,13,21,0,17,45,43,385,131,124,82,270,121,217,97,582,157,370,132,94,53,133,72,2443,130,0,17,0,17,0,17,16,25,0,17,0,17,0,17,30,36,620,134,121,69,238,98,269,120,502,141,528,136,86,57,33,39
0900747080,06000US0900747080,"Middlefield town, Middlesex County, Connecticut",3130,107,1495,104,11,16,0,12,0,12,21,23,7,12,0,12,19,22,22,35,550,119,43,32,180,59,73,46,285,92,203,61,65,44,16,19,1635,87,10,15,12,19,0,12,12,18,14,22,10,15,17,21,27,24,426,93,104,69,176,81,154,68,274,86,331,105,46,26,22,25
0900747360,06000US0900747360,"Middletown town, Middlesex County, Connecticut",32218,593,15309,502,129,80,83,71,139,78,141,76,180,91,243,138,168,67,154,81,4838,536,837,187,1948,285,1137,235,3016,313,1488,243,364,116,444,139,16909,484,181,98,68,37,232,103,232,106,229,95,272,114,211,82,268,107,4362,367,1008,222,1881,274,1741,313,3259,373,2584,380,204,87,177,68
0900757320,06000US0900757320,"Old Saybrook town, Middlesex County, Connecticut",7717,199,3557,202,35,38,12,18,17,27,32,26,12,14,31,30,26,29,55,35,846,184,86,61,520,145,174,74,996,212,502,139,107,63,106,70,4160,169,4,11,22,26,29,34,42,33,67,48,26,35,25,29,25,23,930,180,359,152,507,139,410,147,822,149,685,153,128,57,79,53
0900761800,06000US0900761800,"Portland town, Middlesex County, Connecticut",6854,220,3401,193,9,11,0,17,0,17,42,41,26,41,30,24,8,13,17,18,1114,219,136,61,432,162,286,105,801,181,365,128,115,82,20,23,3453,170,13,20,0,17,24,37,63,68,39,37,25,35,34,34,48,57,847,156,244,101,405,103,389,133,698,184,553,157,27,30,44,32
0900781680,06000US0900781680,"Westbrook town, Middlesex County, Connecticut",5249,254,2587,293,0,17,0,17,7,14,17,26,17,28,37,41,37,43,49,47,942,309,43,40,436,125,113,71,506,198,179,90,99,79,105,67,2662,204,37,42,0,17,0,17,42,41,12,19,31,37,99,90,31,36,792,202,204,76,347,131,121,60,463,161,410,136,64,50,9,15
0900901220,06000US0900901220,"Ansonia town, New Haven County, Connecticut",13181,448,6234,412,61,67,49,61,54,48,159,111,94,55,133,86,66,54,64,80,3008,414,504,238,658,195,474,185,553,178,297,97,27,27,33,30,6947,396,80,55,34,41,105,72,242,123,72,60,210,106,93,90,73,56,2982,406,307,103,1063,240,452,133,704,200,460,153,70,46,0,19
0900903250,06000US0900903250,"Beacon Falls town, New Haven County, Connecticut",4311,139,2199,166,19,29,0,17,0,17,13,21,0,17,28,31,0,17,49,51,914,212,197,93,304,110,178,111,321,119,153,75,23,27,0,17,2112,138,0,17,0,17,0,17,30,32,80,80,0,17,13,22,42,34,631,135,150,80,244,102,188,86,469,144,203,96,32,37,30,34
0900904580,06000US0900904580,"Bethany town, New Haven County, Connecticut",3974,139,1833,122,3,6,0,17,0,17,0,17,0,17,24,26,6,10,13,22,415,105,77,49,293,107,124,70,439,115,296,86,108,56,35,29,2141,108,1,2,0,17,0,17,0,17,20,32,0,17,0,17,8,13,480,128,151,79,156,76,194,78,553,142,397,114,137,64,44,28
0900907310,06000US0900907310,"Branford town, New Haven County, Connecticut",21536,411,9719,320,86,81,32,34,3,8,120,66,45,46,161,78,140,90,175,91,2692,321,621,172,1332,238,464,122,2012,235,968,210,480,139,388,122,11817,356,90,93,35,35,20,23,98,47,75,50,118,68,299,159,78,56,2908,384,686,144,1424,255,1262,199,2570,286,1707,232,267,79,180,99
0900914160,06000US0900914160,"Cheshire town, New Haven County, Connecticut",20303,371,10151,414,58,37,6,12,35,29,97,69,149,86,111,74,114,64,106,74,2464,503,409,132,1002,194,377,114,2895,303,1260,200,548,137,520,146,10152,365,114,76,24,29,0,22,113,62,5,11,130,92,41,35,33,43,2111,261,368,130,1025,178,907,210,2406,293,2195,297,465,151,215,103
0900919550,06000US0900919550,"Derby town, New Haven County, Connecticut",9093,460,4412,447,33,34,15,26,23,47,29,31,56,63,182,126,60,48,124,66,1655,270,256,99,517,216,250,113,814,293,295,112,92,62,11,18,4681,304,68,54,0,19,110,106,58,48,51,58,218,141,38,35,81,61,1628,286,293,129,579,212,342,136,630,241,452,170,106,61,27,31
