GEO.id2,GEO.id,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35
Id2,Id,Geography,Estimate;  Total: ,Margins of Error;  Total: ,Estimate;  Male: ,Margins of Error;  Male: ,Estimate;  Male: No schooling completed ,Margins of Error;  Male: No schooling completed ,Estimate;  Male: Nursery to 4th grade ,Margins of Error;  Male: Nursery to 4th grade ,Estimate;  Male: 5th and 6th grade ,Margins of Error;  Male: 5th and 6th grade ,Estimate;  Male: 7th and 8th grade ,Margins of Error;  Male: 7th and 8th grade ,Estimate;  Male: 9th grade ,Margins of Error;  Male: 9th grade ,Estimate;  Male: 10th grade ,Margins of Error;  Male: 10th grade ,Estimate;  Male: 11th grade ,Margins of Error;  Male: 11th grade ,"Estimate;  Male: 12th grade, no diploma ","Margins of Error;  Male: 12th grade, no diploma ","Estimate;  Male: High school graduate, GED, or alternative ","Margins of Error;  Male: High school graduate, GED, or alternative ","Estimate;  Male: Some college, less than 1 year ","Margins of Error;  Male: Some college, less than 1 year ","Estimate;  Male: Some college, 1 or more years, no degree ","Margins of Error;  Male: Some college, 1 or more years, no degree ",Estimate;  Male: Associate's degree ,Margins of Error;  Male: Associate's degree ,Estimate;  Male: Bachelor's degree ,Margins of Error;  Male: Bachelor's degree ,Estimate;  Male: Master's degree ,Margins of Error;  Male: Master's degree ,Estimate;  Male: Professional school degree ,Margins of Error;  Male: Professional school degree ,Estimate;  Male: Doctorate degree ,Margins of Error;  Male: Doctorate degree ,Estimate;  Female: ,Margins of Error;  Female: ,Estimate;  Female: No schooling completed ,Margins of Error;  Female: No schooling completed ,Estimate;  Female: Nursery to 4th grade ,Margins of Error;  Female: Nursery to 4th grade ,Estimate;  Female: 5th and 6th grade ,Margins of Error;  Female: 5th and 6th grade ,Estimate;  Female: 7th and 8th grade ,Margins of Error;  Female: 7th and 8th grade ,Estimate;  Female: 9th grade ,Margins of Error;  Female: 9th grade ,Estimate;  Female: 10th grade ,Margins of Error;  Female: 10th grade ,Estimate;  Female: 11th grade ,Margins of Error;  Female: 11th grade ,"Estimate;  Female: 12th grade, no diploma ","Margins of Error;  Female: 12th grade, no diploma ","Estimate;  Female: High school graduate, GED, or alternative ","Margins of Error;  Female: High school graduate, GED, or alternative ","Estimate;  Female: Some college, less than 1 year ","Margins of Error;  Female: Some college, less than 1 year ","Estimate;  Female: Some college, 1 or more years, no degree ","Margins of Error;  Female: Some college, 1 or more years, no degree ",Estimate;  Female: Associate's degree ,Margins of Error;  Female: Associate's degree ,Estimate;  Female: Bachelor's degree ,Margins of Error;  Female: Bachelor's degree ,Estimate;  Female: Master's degree ,Margins of Error;  Female: Master's degree ,Estimate;  Female: Professional school degree ,Margins of Error;  Female: Professional school degree ,Estimate;  Female: Doctorate degree ,Margins of Error;  Female: Doctorate degree 
0900148620,06000US0900148620,"Monroe town, Fairfield County, Connecticut",13329,294,6175,238,67,68,23,37,0,19,58,53,72,57,50,41,14,21,79,63,1206,233,279,163,555,137,388,134,2054,273,920,193,236,93,174,143,7154,214,93,72,17,27,14,22,52,41,36,36,24,28,79,63,80,58,1651,208,387,125,938,218,496,137,2024,259,1088,218,125,74,50,45
0900150580,06000US0900150580,"New Canaan town, Fairfield County, Connecticut",12614,269,5935,257,1,9,12,20,19,28,56,75,28,33,12,19,32,30,49,42,306,145,71,46,417,145,158,117,2257,288,1752,214,607,142,158,88,6679,231,52,46,0,22,0,22,17,21,0,22,22,20,0,22,34,39,649,173,159,61,606,172,305,101,2752,290,1617,226,393,99,73,50
0900150860,06000US0900150860,"New Fairfield town, Fairfield County, Connecticut",9306,250,4513,179,37,28,0,19,14,22,34,27,22,23,7,13,40,26,33,31,1144,196,201,68,628,149,265,100,1299,165,580,134,147,70,62,35,4793,176,22,23,0,19,18,20,12,19,26,24,0,19,18,22,88,50,994,160,324,93,628,145,464,120,1413,195,729,139,37,29,20,21
0900152980,06000US0900152980,"Newtown town, Fairfield County, Connecticut",18798,362,9393,288,69,97,13,16,0,22,83,36,123,70,191,103,115,73,97,72,1650,208,445,129,953,181,514,153,2760,293,1645,220,502,127,233,80,9405,249,69,53,20,22,4,6,23,26,67,63,56,37,38,37,68,57,1744,266,458,130,1020,173,743,177,2840,317,1855,203,291,101,109,59
0900156060,06000US0900156060,"Norwalk town, Fairfield County, Connecticut",63756,864,30469,832,173,82,282,125,679,254,622,231,347,137,366,128,375,169,589,166,7984,721,1602,252,3824,494,1410,254,7536,528,3189,336,1044,208,447,136,33287,646,253,105,185,93,611,205,505,166,427,156,368,142,530,177,538,174,7770,589,1637,288,3838,398,2633,333,8596,596,4328,425,750,170,318,97
0900163480,06000US0900163480,"Redding town, Fairfield County, Connecticut",6428,177,2987,191,0,17,0,17,0,17,13,19,0,17,0,17,0,17,0,17,367,127,140,58,169,81,75,40,1117,189,677,136,341,118,88,59,3441,147,17,25,0,17,0,17,1,2,26,33,0,17,27,31,10,16,435,99,68,50,357,116,215,77,1360,154,711,133,125,57,89,55
0900163970,06000US0900163970,"Ridgefield town, Fairfield County, Connecticut",16308,277,7765,253,16,18,0,22,0,22,19,31,0,22,9,15,40,34,18,30,589,156,180,68,670,183,224,79,3167,293,2029,238,566,135,238,74,8543,265,2,4,26,40,0,22,37,39,8,11,13,15,27,25,76,38,938,158,264,84,838,167,479,132,3022,263,2043,224,560,145,210,79
0900168170,06000US0900168170,"Shelton town, Fairfield County, Connecticut",29230,475,13524,393,71,54,23,30,40,33,165,68,131,93,251,99,111,62,157,67,3885,337,816,187,1770,249,931,222,2958,350,1629,280,345,92,241,92,15706,367,61,48,47,34,73,61,221,118,143,79,263,116,214,83,123,49,4449,373,970,171,1920,319,1358,260,3387,347,1960,257,406,113,111,85
0900168310,06000US0900168310,"Sherman town, Fairfield County, Connecticut",2607,116,1301,92,0,12,0,12,0,12,0,12,0,12,7,11,9,15,6,8,260,78,75,36,228,84,111,60,344,90,167,50,72,44,22,19,1306,84,0,12,0,12,0,12,3,7,0,12,0,12,8,12,6,10,276,88,34,29,120,50,98,48,426,100,269,81,48,34,18,17
0900173070,06000US0900173070,"Stamford town, Fairfield County, Connecticut",87421,1075,42493,919,356,130,886,352,1143,391,865,289,735,240,493,162,690,201,722,197,8775,687,1561,300,4532,500,1739,293,11299,708,5731,464,1779,223,1187,310,44928,780,571,163,519,189,878,261,893,249,480,204,671,221,790,224,650,137,9592,618,1864,291,5412,521,2561,281,11407,609,6975,520,1207,198,458,131
