GEO.id,GEO.id2,GEO.display-label,B15002_001E,B15002_001M,B15002_002E,B15002_002M,B15002_003E,B15002_003M,B15002_004E,B15002_004M,B15002_005E,B15002_005M,B15002_006E,B15002_006M,B15002_007E,B15002_007M,B15002_008E,B15002_008M,B15002_009E,B15002_009M,B15002_010E,B15002_010M,B15002_011E,B15002_011M,B15002_012E,B15002_012M,B15002_013E,B15002_013M,B15002_014E,B15002_014M,B15002_015E,B15002_015M,B15002_016E,B15002_016M,B15002_017E,B15002_017M,B15002_018E,B15002_018M,B15002_019E,B15002_019M,B15002_020E,B15002_020M,B15002_021E,B15002_021M,B15002_022E,B15002_022M,B15002_023E,B15002_023M,B15002_024E,B15002_024M,B15002_025E,B15002_025M,B15002_026E,B15002_026M,B15002_027E,B15002_027M,B15002_028E,B15002_028M,B15002_029E,B15002_029M,B15002_030E,B15002_030M,B15002_031E,B15002_031M,B15002_032E,B15002_032M,B15002_033E,B15002_033M,B15002_034E,B15002_034M,B15002_035E,B15002_035M
Id,Id2,Geography,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Male:,Margin of Error!!Total:!!Male:,Estimate!!Total:!!Male:!!No schooling completed,Margin of Error!!Total:!!Male:!!No schooling completed,Estimate!!Total:!!Male:!!Nursery to 4th grade,Margin of Error!!Total:!!Male:!!Nursery to 4th grade,Estimate!!Total:!!Male:!!5th and 6th grade,Margin of Error!!Total:!!Male:!!5th and 6th grade,Estimate!!Total:!!Male:!!7th and 8th grade,Margin of Error!!Total:!!Male:!!7th and 8th grade,Estimate!!Total:!!Male:!!9th grade,Margin of Error!!Total:!!Male:!!9th grade,Estimate!!Total:!!Male:!!10th grade,Margin of Error!!Total:!!Male:!!10th grade,Estimate!!Total:!!Male:!!11th grade,Margin of Error!!Total:!!Male:!!11th grade,"Estimate!!Total:!!Male:!!12th grade, no diploma","Margin of Error!!Total:!!Male:!!12th grade, no diploma",Estimate!!Total:!!Male:!!High school graduate (includes equivalency),Margin of Error!!Total:!!Male:!!High school graduate (includes equivalency),"Estimate!!Total:!!Male:!!Some college, less than 1 year","Margin of Error!!Total:!!Male:!!Some college, less than 1 year","Estimate!!Total:!!Male:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Male:!!Some college, 1 or more years, no degree",Estimate!!Total:!!Male:!!Associate's degree,Margin of Error!!Total:!!Male:!!Associate's degree,Estimate!!Total:!!Male:!!Bachelor's degree,Margin of Error!!Total:!!Male:!!Bachelor's degree,Estimate!!Total:!!Male:!!Master's degree,Margin of Error!!Total:!!Male:!!Master's degree,Estimate!!Total:!!Male:!!Professional school degree,Margin of Error!!Total:!!Male:!!Professional school degree,Estimate!!Total:!!Male:!!Doctorate degree,Margin of Error!!Total:!!Male:!!Doctorate degree,Estimate!!Total:!!Female:,Margin of Error!!Total:!!Female:,Estimate!!Total:!!Female:!!No schooling completed,Margin of Error!!Total:!!Female:!!No schooling completed,Estimate!!Total:!!Female:!!Nursery to 4th grade,Margin of Error!!Total:!!Female:!!Nursery to 4th grade,Estimate!!Total:!!Female:!!5th and 6th grade,Margin of Error!!Total:!!Female:!!5th and 6th grade,Estimate!!Total:!!Female:!!7th and 8th grade,Margin of Error!!Total:!!Female:!!7th and 8th grade,Estimate!!Total:!!Female:!!9th grade,Margin of Error!!Total:!!Female:!!9th grade,Estimate!!Total:!!Female:!!10th grade,Margin of Error!!Total:!!Female:!!10th grade,Estimate!!Total:!!Female:!!11th grade,Margin of Error!!Total:!!Female:!!11th grade,"Estimate!!Total:!!Female:!!12th grade, no diploma","Margin of Error!!Total:!!Female:!!12th grade, no diploma",Estimate!!Total:!!Female:!!High school graduate (includes equivalency),Margin of Error!!Total:!!Female:!!High school graduate (includes equivalency),"Estimate!!Total:!!Female:!!Some college, less than 1 year","Margin of Error!!Total:!!Female:!!Some college, less than 1 year","Estimate!!Total:!!Female:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Female:!!Some college, 1 or more years, no degree",Estimate!!Total:!!Female:!!Associate's degree,Margin of Error!!Total:!!Female:!!Associate's degree,Estimate!!Total:!!Female:!!Bachelor's degree,Margin of Error!!Total:!!Female:!!Bachelor's degree,Estimate!!Total:!!Female:!!Master's degree,Margin of Error!!Total:!!Female:!!Master's degree,Estimate!!Total:!!Female:!!Professional school degree,Margin of Error!!Total:!!Female:!!Professional school degree,Estimate!!Total:!!Female:!!Doctorate degree,Margin of Error!!Total:!!Female:!!Doctorate degree
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",13582,357,6408,299,26,23,0,19,53,54,78,46,40,34,34,42,46,37,99,55,1500,255,463,189,850,197,379,104,1823,242,735,151,92,44,190,95,7174,255,22,21,7,13,11,18,105,100,14,19,72,84,41,38,73,48,1636,239,672,215,745,149,450,121,2192,284,903,185,159,84,72,46
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",93895,1058,43496,882,1179,219,1118,286,1867,403,1514,263,1003,241,1112,224,1450,269,1319,257,15250,896,1969,302,5399,621,2556,327,4629,439,2276,363,425,138,430,151,50399,985,1306,246,1203,252,1510,310,2104,360,1656,288,1210,254,1751,367,866,198,15662,969,2840,357,7102,600,3311,398,6387,588,2761,381,350,123,380,176
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",11807,367,5713,254,13,16,0,19,75,85,67,83,10,15,12,17,79,65,53,59,1125,209,256,102,629,184,561,186,1825,256,769,152,133,53,106,62,6094,238,9,14,0,19,0,19,51,69,14,21,77,62,20,24,58,45,1472,273,255,98,547,138,520,120,1923,261,851,151,199,79,98,62
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",58259,884,29277,905,778,233,438,215,1600,468,683,212,441,242,487,158,516,217,651,149,8433,694,1726,307,2972,436,1839,360,5542,456,2183,335,585,155,403,117,28982,710,644,153,260,131,804,232,679,235,454,218,383,149,298,128,589,204,8057,704,1838,280,2997,481,2196,322,5472,491,3485,416,637,182,189,88
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",13047,230,6294,178,1,3,15,22,8,14,2,5,0,23,21,22,28,26,94,47,288,110,79,44,253,92,92,49,2814,202,1857,201,614,124,128,54,6753,188,10,15,12,18,29,32,52,55,0,23,20,21,0,23,30,29,446,97,133,51,351,110,269,104,3401,210,1591,148,330,100,79,40
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",5587,216,2749,155,14,20,0,17,18,22,8,13,0,17,17,28,13,20,30,30,459,195,99,54,292,101,88,49,948,161,415,89,280,94,68,42,2838,146,0,17,0,17,16,19,17,25,12,19,0,17,0,17,10,14,360,111,92,53,236,96,216,72,932,165,654,130,185,78,108,59
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",39149,701,18638,471,111,64,27,26,27,27,162,89,73,45,105,88,82,56,263,99,2401,332,457,129,1430,215,761,179,6652,405,4025,315,1545,215,517,136,20511,468,139,77,21,21,92,42,106,52,118,73,97,51,84,45,172,59,3033,300,713,139,1501,219,1276,182,7349,430,4540,393,861,180,409,114
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",42499,598,19546,477,128,61,19,29,70,60,145,73,17,18,11,17,98,75,183,113,2799,360,394,123,1245,209,818,192,6359,444,4951,344,1755,230,554,130,22953,515,209,84,25,29,181,86,209,91,23,27,177,78,139,72,132,55,3101,432,679,174,2027,298,1345,185,7903,442,5107,344,1166,190,530,133
