GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - No schooling completed,Margin of Error; Male: - No schooling completed,Estimate; Male: - Nursery to 4th grade,Margin of Error; Male: - Nursery to 4th grade,Estimate; Male: - 5th and 6th grade,Margin of Error; Male: - 5th and 6th grade,Estimate; Male: - 7th and 8th grade,Margin of Error; Male: - 7th and 8th grade,Estimate; Male: - 9th grade,Margin of Error; Male: - 9th grade,Estimate; Male: - 10th grade,Margin of Error; Male: - 10th grade,Estimate; Male: - 11th grade,Margin of Error; Male: - 11th grade,"Estimate; Male: - 12th grade, no diploma","Margin of Error; Male: - 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, less than 1 year","Margin of Error; Male: - Some college, less than 1 year","Estimate; Male: - Some college, 1 or more years, no degree","Margin of Error; Male: - Some college, 1 or more years, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Master's degree,Margin of Error; Male: - Master's degree,Estimate; Male: - Professional school degree,Margin of Error; Male: - Professional school degree,Estimate; Male: - Doctorate degree,Margin of Error; Male: - Doctorate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - No schooling completed,Margin of Error; Female: - No schooling completed,Estimate; Female: - Nursery to 4th grade,Margin of Error; Female: - Nursery to 4th grade,Estimate; Female: - 5th and 6th grade,Margin of Error; Female: - 5th and 6th grade,Estimate; Female: - 7th and 8th grade,Margin of Error; Female: - 7th and 8th grade,Estimate; Female: - 9th grade,Margin of Error; Female: - 9th grade,Estimate; Female: - 10th grade,Margin of Error; Female: - 10th grade,Estimate; Female: - 11th grade,Margin of Error; Female: - 11th grade,"Estimate; Female: - 12th grade, no diploma","Margin of Error; Female: - 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, less than 1 year","Margin of Error; Female: - Some college, less than 1 year","Estimate; Female: - Some college, 1 or more years, no degree","Margin of Error; Female: - Some college, 1 or more years, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Master's degree,Margin of Error; Female: - Master's degree,Estimate; Female: - Professional school degree,Margin of Error; Female: - Professional school degree,Estimate; Female: - Doctorate degree,Margin of Error; Female: - Doctorate degree
0400000US09,09,Connecticut,2462855,421,1172248,341,12355,756,8144,758,13651,935,18214,1068,14745,876,19545,1012,19569,1024,18854,958,333287,3197,59537,2020,141445,2740,71074,1491,248324,2877,127464,2285,41235,1236,24805,782,1290607,371,13328,757,7997,718,12876,752,19160,903,15114,871,18858,870,20393,1006,17054,1046,340686,3739,71458,1681,157689,2472,112215,2220,267677,3333,169806,2611,30617,993,15679,764
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",13324,258,6231,256,16,16,10,14,65,64,43,44,94,98,110,61,109,66,154,79,1564,234,250,105,907,212,414,150,1451,204,864,191,109,77,71,46,7093,208,46,35,9,15,0,19,115,86,14,18,12,14,23,27,66,42,1864,248,420,141,816,163,498,118,1872,277,1136,222,158,86,44,34
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",93410,1006,44002,962,983,222,1302,300,1839,331,1624,310,1533,313,1374,297,1324,268,1297,261,14953,796,2328,338,6166,553,1831,295,4471,523,2181,365,452,151,344,124,49408,825,1129,221,853,176,1501,254,1968,321,1755,294,1374,263,1921,299,1035,208,15315,733,2778,370,7598,581,3654,380,5363,496,2475,360,397,137,292,132
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",11477,400,5556,243,18,18,0,19,16,19,19,21,26,31,75,77,84,66,65,46,1080,216,374,128,832,208,318,100,1600,270,686,158,154,65,209,92,5921,277,6,10,11,17,0,19,11,18,0,19,6,9,13,19,66,50,1416,267,455,129,496,157,586,153,1751,238,923,166,125,65,56,44
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",57395,786,28322,857,477,184,560,193,1688,453,968,325,484,185,407,170,335,140,700,184,8665,822,1329,255,3024,365,1313,282,5151,501,2152,279,678,196,391,132,29073,549,607,178,506,183,911,241,656,244,363,114,459,153,366,145,535,169,8665,540,1393,280,3542,360,2091,292,4653,454,3519,339,554,155,253,103
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",12744,250,6035,182,1,2,0,22,13,21,9,15,13,20,1,2,30,24,69,46,380,108,47,32,228,60,115,58,2739,223,1717,188,516,121,157,53,6709,201,12,16,0,22,0,22,0,22,0,22,1,2,17,17,31,28,677,143,152,71,466,125,279,74,2972,232,1728,172,303,93,71,37
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",5264,182,2562,119,0,17,15,23,17,19,21,16,31,40,11,17,53,39,0,17,352,98,64,45,236,81,138,53,891,130,450,122,237,81,46,35,2702,114,10,16,15,23,21,24,29,22,0,17,4,8,10,16,58,43,447,136,83,45,407,110,202,72,693,126,496,94,164,76,63,49
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",38656,542,18031,467,63,38,56,36,34,27,196,77,62,42,135,65,124,61,165,74,2434,266,575,133,1583,217,704,137,6596,422,3598,321,1299,171,407,98,20625,422,90,50,91,51,85,43,178,76,103,63,123,58,185,68,113,58,3572,341,880,160,1740,244,1316,229,6532,339,4271,314,1004,147,342,108
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",42406,558,19647,395,68,43,0,28,137,64,124,59,78,67,93,49,158,95,216,101,3055,399,330,95,1350,212,662,151,6340,440,4614,341,1837,238,585,126,22759,449,153,73,56,52,212,115,185,99,71,49,108,59,207,80,137,61,3510,368,739,179,2045,300,1220,202,7716,473,4678,354,1228,181,494,122
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",13405,370,6149,314,53,53,19,30,0,19,76,52,69,60,66,57,10,15,62,53,1216,222,330,173,508,164,469,159,1911,291,1014,222,259,104,87,64,7256,285,88,58,15,23,10,15,32,39,37,39,41,49,93,63,80,62,1585,225,347,129,902,204,624,122,2138,296,1082,266,171,94,11,18
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",12657,293,5955,243,1,8,36,47,20,31,43,60,14,24,11,18,31,33,47,41,428,176,57,43,400,151,162,103,2265,265,1731,212,585,129,124,58,6702,222,60,47,0,22,0,22,16,18,0,22,23,23,18,29,31,35,633,142,191,72,497,136,303,105,2881,280,1610,237,355,96,84,57
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",9470,241,4736,186,43,38,0,19,14,21,38,32,40,30,5,9,66,50,48,34,1151,185,193,69,603,147,328,121,1339,166,657,123,150,71,61,41,4734,159,30,28,0,19,16,18,0,19,15,20,0,19,20,22,108,47,1028,172,261,86,599,138,481,141,1318,179,776,140,45,34,37,28
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",18888,354,9266,262,74,99,15,24,8,12,52,35,85,61,76,51,109,59,87,50,1693,243,339,103,989,179,488,155,2853,262,1576,249,616,141,206,83,9622,278,54,40,34,39,2,4,23,17,73,65,55,40,39,39,74,55,1828,272,395,106,928,173,750,175,3016,257,1961,199,320,107,70,40
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",63174,731,30203,696,181,65,254,123,899,359,568,248,417,180,460,161,388,144,535,164,7999,600,1421,252,3586,488,1272,215,7604,570,3150,289,1062,213,407,118,32971,656,305,122,194,103,634,183,571,218,470,188,388,151,500,144,490,175,7553,585,1482,250,4035,448,2681,287,7979,580,4434,373,944,192,311,105
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",6525,194,2985,163,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,425,143,120,56,191,66,54,31,1057,140,717,143,329,103,92,60,3540,150,0,17,0,17,0,17,0,17,26,33,0,17,27,30,10,16,448,106,54,49,344,101,205,62,1432,170,800,122,115,47,79,41
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",16458,352,7843,258,14,16,0,22,0,22,21,28,7,11,19,30,17,23,21,32,493,130,181,71,600,179,220,66,3499,292,1907,220,591,143,253,83,8615,297,3,5,25,38,0,22,36,45,8,11,27,34,29,25,73,45,922,180,158,69,776,162,508,115,3102,290,2093,252,609,140,246,81
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",29514,459,13954,395,140,73,49,52,22,24,103,64,169,98,180,86,139,80,195,83,3818,361,761,164,1795,280,941,166,3391,392,1698,267,334,90,219,83,15560,415,93,54,41,32,55,71,158,70,90,68,183,98,205,99,152,67,4554,369,900,187,1773,276,1380,209,3540,370,1912,313,386,160,138,72
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",2633,129,1339,96,0,12,0,12,0,12,14,21,0,12,9,13,10,16,6,9,230,79,69,40,246,86,112,54,354,88,177,74,77,41,35,26,1294,86,0,12,0,12,0,12,5,8,0,12,0,12,7,12,6,12,290,79,30,26,136,61,105,52,399,85,248,75,47,34,21,19
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",87981,1039,42268,815,344,133,687,310,971,274,735,246,689,231,454,162,531,171,633,180,8672,812,1401,295,4762,527,2083,326,11204,621,6015,521,1870,229,1217,272,45713,727,474,155,432,175,946,255,484,137,396,171,631,217,661,192,636,161,9782,635,1742,268,5760,559,2679,332,12038,702,7194,503,1266,244,592,170
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",38533,506,17444,502,86,51,169,120,194,99,301,186,122,67,219,105,207,115,335,99,6202,448,886,188,2200,300,1144,230,3360,323,1588,246,308,111,123,68,21089,505,228,85,90,54,229,107,218,80,196,94,282,110,309,123,293,99,6584,433,1443,205,2665,357,1863,251,4158,420,2062,242,313,98,156,64
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",24607,411,11640,321,26,23,29,28,40,35,125,62,74,46,80,49,85,77,76,43,2297,287,436,134,1255,243,772,223,3464,312,2026,206,561,165,294,101,12967,323,102,70,15,17,81,48,143,62,64,44,140,68,167,76,161,69,2693,285,467,117,1570,230,1079,218,3497,368,2374,247,274,107,140,53
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",6460,200,3163,131,0,19,19,28,8,12,8,12,0,19,11,17,0,19,31,47,134,54,107,51,98,45,21,22,1231,164,874,150,549,119,72,42,3297,136,0,19,0,19,8,13,0,19,0,19,6,10,6,11,9,14,246,92,61,32,198,80,120,66,1465,153,877,158,221,74,80,43
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",18034,318,8477,239,14,21,0,22,7,14,7,10,0,22,18,19,48,60,15,21,744,177,246,103,460,137,184,70,2926,267,2359,271,1019,172,430,136,9557,225,7,11,0,22,4,9,20,24,12,15,0,22,42,41,8,13,1164,186,218,86,614,147,389,133,3852,309,2486,263,562,122,179,69
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",11857,247,5754,175,49,42,9,13,13,17,8,13,7,14,7,13,23,19,9,13,197,76,137,60,324,97,167,82,2327,219,1677,165,610,128,190,71,6103,206,20,19,7,11,37,49,18,13,12,18,0,19,0,19,14,16,527,109,229,90,464,113,423,132,2492,187,1260,138,485,114,115,62
